artist_id,original_name,english_name,type
c6c508d6-4b42-48f2-813b-8d982ec40b07,星街すいせい,Hoshimachi Suisei,"Singer, VTuber"
e85477f1-f5f2-4ff2-bce5-3c248ad8c0b9,結束バンド,Kessoku Band,Fictional Band
e6c6c330-5f9e-4736-89b7-357e37e53c9a,Official髭男dism,Official Hige Dandism,Band
82119f88-7891-4d69-b7f2-0af056fbb190,Deco*27,Deco*27,"Producer, Songwriter"
e2e1dbd9-d24e-42be-8488-787fe59ce167,Yoasobi,Yoasobi,Duo
d021890a-ad91-408b-ae02-dbe22e1beeb3,Ayase,Ayase,"Singer, Songwriter, Producer"
6a5312e8-5737-4f65-88c9-ed221643b3cc,幾田 りら,Lilas Ikuta,"Singer, Songwriter"
b7e0bccd-b3c7-4a9a-86b1-dcb9975e2411,米津 玄師,Kenshi Yonezu,"Singer, Songwriter, Producer"
b04ee611-ddda-4653-8edf-180d87526e15,藤井 風,Fujii Kaze,"Singer, Songwriter"
46416146-a3ea-4db3-9832-6ba543e77d4c,Eve,Eve,"Singer, Songwriter, Producer"
f1963d7a-4b56-498c-91f8-9fde00032d42,King Gnu,King Gnu,Band
1c6c2981-0c77-4003-b68b-0675979db8b2,Mrs. GREEN APPLE,Mrs. GREEN APPLE,Band
537cb7f0-e60d-403f-96c5-8a01032495b8,HoneyWorks,HoneyWorks,Group
7ebd60cd-97b3-4862-b6b0-b7577c8be881,早見沙織,Saori Hayami,"Singer, Voice Actor"
3b0bf040-e832-44b5-b362-573ea14fa8a9,猫又おかゆ,Nekomata Okayu,"Singer, VTuber"
87e21edb-9002-4c17-9b58-a5499a7ef8db,Back Number,Back Number,Band
c62b45ae-3969-4b82-afbf-387f95b348b0,Bump of Chicken,Bump of Chicken,Band
bf1ef2ca-b707-4585-ad43-5e9acfd0309b,Sakanaction,Sakanaction,Band
75c1ac24-23b2-4fac-b37e-4b304ad0054f,ミツキヨ,Mitsukiyo,Composer
e6936364-284f-4a7f-bd0b-64b0cb84aa75,ちのぞー,Chinozo,"Producer, Songwriter"
d69d8e7b-eb7e-4f2f-a454-a26cbcba130f,カナリア,Kanaria,"Producer, Vtuber"
ab2fbebc-ef7e-43bc-8f94-906fefd4a529,稲葉曇,Inabakumori,"Producer, Songwriter"
142449f1-9fc4-4875-88a3-9c8767d7ec0e,32ki,32ki,"Producer, Songwriter"
a9c1a25c-8eb0-45c0-84c6-c92f21a40754,初音ミク,Hatsune Miku,"Vocaloid, Virtual Singer"
66283987-f65e-46dd-b84c-8d8a7ee95614,重音テト,Kasane Teto,"UTAU, Virtual Singer"
8a425ff4-91d0-4d29-b42b-155518257af9,ツミキ,Tsumiki,"Singer, Songwriter, Producer"
22c51725-f8df-4c18-bcc8-e498ae669046,可不,KAFU,"CeVIO, Virtual Singer"
2110882b-cc1f-4784-a2cb-9a9defe74ceb,みきとP,MikitoP,Producer
47200ea3-a1a5-4cf2-8ca0-673e291d1215,歌愛ユキ,Kaai Yuki,"Vocaloid, Virtual Singer"
2c2748ce-650b-43a5-a993-10a15920a72a,ゆこぴ,Yukopi,Producer
78883782-407d-48b1-a628-6a2738815215,wowaka,wowaka,"Singer, Songwriter, Producer"
08811b21-0520-4af8-a497-06d01a6a840e,いよわ,Iyowa,"Songwriter, Producer"
4ad9dc35-1164-4b63-9148-6a5fe32b2617,須田景凪,Keina Suda,"Singer, Songwriter, Producer"
41a53fdf-e0e6-447b-b546-88ff59d79ddb,ぬゆり,Nuyuri,Producer
3b832109-b2f5-404a-afcb-100498e8467f,椎名もた,Siinamota,Producer
3e2ab05d-318a-49cf-8321-6d3deef421df,吉田夜世,Yoshida Yasei,Producer
4dc8f838-b91e-41ab-b98f-94ae70b1e1d1,黒うさP,Kurousa-P,Producer
24256261-f32c-4b51-8edb-622829dae6ef,柊マグネタイト,Hiiragi Magnetite,"Songwriter, Producer"
2e1141e5-861d-44cf-a8ae-2d4b60cbd58a,アマザラシ,amazarashi,Band
c9cbe8f4-f1c0-49ea-ab6d-e46b3fd427a8,澤野 弘之,Hiroyuki SAWANO,"Composer, Producer"
8b090993-8bd6-4e48-9dc6-423e523f883f,吉岡聖恵,Kiyoe Yoshioka,"Singer, Songwriter"
dbb11fce-7cf3-4d10-908b-41be97a8a5bb,緑黄色社会,Ryokuoushoku Shakai,Band
9a227b0c-255a-4731-882e-2c21acd9d382,三月のパンタシア,Sangetsu no Phantasia,Unit
ccffbe40-7676-4ebe-bdca-860552136e14,ALI,ALI,Band
d2d6c52f-a88e-47bf-88d6-c198750f30ae,UNISON SQUARE GARDEN,UNISON SQUARE GARDEN,Band
1acadb98-c59f-4904-af53-a67f25a9fb13,the peggies,the peggies,Band
9fc9ce6a-d236-4459-83c9-7b795830a57c,久保 ユリカ,Kubo Yurika,"Singer, Voice Actor"
7ba8af27-4d9a-424e-b2c4-93f3fd52d778,水瀬 いのり,Inori Minase,"Singer, Voice Actor"
9188f143-35e4-4032-bb54-0926823e434a,瀬戸 麻沙美,Asami Seto,"Singer, Voice Actor"
5054b621-ffab-41be-9a4d-aa8f95475c43,種﨑 敦美,Atsumi Tanezaki,Voice Actor
767491c4-ff9f-4411-9093-0a5237072a8b,東山 奈央,Nao Toyama,"Singer, Voice Actor"
06cefe71-6cbb-4d70-9721-e6f61c2f36d6,内田 真礼,Maaya Uchida,"Singer, Voice Actor"
203a8542-4125-4c32-85b4-7fb1f2aa9df3,宇多田ヒカル,Hikaru Utada,"Singer, Songwriter, Producer"
b1d97e5e-0303-4253-b66e-81db89f4d765,りや,riya,"Singer, Songwriter"
7ac8bad8-362b-4b2e-91a3-1746ac4bc6f2,茶太,Chata,Singer
3b8bfdfa-5a15-4b05-9726-b1fa3eca9fd5,LIA,LIA,"Singer, Songwriter"
ba764a2f-2380-4ada-90e0-361e3a5f0ac4,FLOW,FLOW,Band
79b11717-573e-450c-9edf-20c8186b9d48,Creepy Nuts,Creepy Nuts,Duo
15ad8c29-6c2c-4209-bad8-b148daae9752,AiNA THE END,AiNA THE END,"Singer, Actress, Idol"
8317a263-a969-4e87-926c-255e14d7dc57,LiSA,LiSA,"Singer, Songwriter"
9e62c6e7-6bfc-49bb-a8d3-34ce23a98447,Aimer,Aimer,"Singer, Songwriter"
a78e0901-e6c5-4804-8eb7-48116eecc34c,佐高陵平,Ryohei Sataka,"Songwriter, Producer"
eb9d8a0f-b502-4c8d-aa49-068c48b90613,fhána,fhána,Band
d6d06cff-04fc-495e-b3e8-26912ac442af,Super Chorogons,Super Chorogons,Group
77e74f77-5cf4-4561-9894-e7f2c4778d88,OxT,OxT,Group
c1983f6d-b0f5-4b01-a78c-3b2422ba4884,ClariS,ClariS,Group
de9d6646-82a6-468c-b00b-6e2030fd8b9c,だをこ,Daoko,"Singer, Rapper"
e4c061fa-7bbd-47cf-b735-d15daae0d09a,yama,yama,Singer
f3b9e482-1036-462d-9932-306d5f61a1b2,シユイ,Shiyui,Singer
93f78ff8-a7c4-4a41-8387-8748ecca6763,ryo (supercell),ryo (supercell),"Songwriter, Producer"
9adf3de1-2c59-480a-87a0-4917b0d65747,Supercell,Supercell,Band
edd54812-8b1d-49fb-a0b9-d9ade8770dba,NACHERRY,NACHERRY,Unit
e9ed662c-f1cc-4621-9c34-40b725bb3b7c,BiSH,BiSH,Idol Group
5f563785-4529-44ec-9f98-dad235e016a1,MILLENNIUM PARADE,MILLENNIUM PARADE,Group
be34ea37-49cf-4f61-ae05-0bd012216c5a,椎名 林檎,Sheena Ringo,"Singer, Songwriter"
b94d1990-e096-40d5-a9af-a394f5732446,キタニタツヤ,Tatsuya Kitani,"Singer, Songwriter, Producer"
927894b0-787e-4c5a-a1da-276e501345fd,BABYMETAL,BABYMETAL,Band
45f3a57b-8788-4736-86d0-fba0633c1e3c,神山 羊,Yoh Kamiyama,"Singer, Composer"
6e08e05b-96d5-4685-bc90-232c270d4503,来栖りん,Kurusi Rin,"Singer, Voice Actor"
231bcd4c-52a1-4f74-ad5e-3c52c2d836f9,CIDER GIRL,CIDER GIRL,Band
9c5afe76-d3db-43ad-a836-12ef0efc2bca,YURiKA,YURiKA,Singer
fa80dc3a-cb54-42a8-b6cb-516ab35f7762,釘宮 理恵,Rie Kugimiya,"Singer, Voice Actor"
72a216c6-d549-443b-8ffa-848bf1303b8a,酸欠少女 さユり,Sanketsu-girl Sayuri,"Singer, Songwriter"
0d1b2436-07bb-435f-acf6-84f5ebae41a0,Kalafina,Kalafina,Group
82808218-1035-4ee6-9ff5-912250e83cc3,ぼっちぼろまる,BOTCHI BOROMARU,"Singer, Songwriter"
45547320-ba8f-431d-96fe-f629471d92b3,スピラ・スピカ,Spira Spica,Group
a8e97708-c553-4136-b283-f8bbd0cfde9e,崎山蒼志,Soushi Sakiyama,"Singer, Songwriter"
3dac6f91-058d-4c1a-9f44-96bb021695ab,ヒャダイン,Hyadain,Composer
6abd2c33-aaf2-4df6-b242-ac670078488e,鈴木 このみ,Konomi Suzuki,"Singer, Voice Actor"
494c7444-f108-40fe-99bd-44db6266330e,THE ORAL CIGARETTES,THE ORAL CIGARETTES,Band
5ff19f29-3617-4188-9130-64de206127db,えなこ,Enako,"Singer, Voice Actor, Idol"
3a13e9ce-6fb0-4f68-a40a-3d2c6a342689,P丸様。,Pmaru-sama,"Utaite, Youtuber"
0ffb7d50-44e0-4d1f-9959-210a0cb1a387,yanaginagi,yanaginagi,"Singer, Songwriter"
fbf0032a-b32d-4442-961a-9958396502cf,QUEEN BEE,QUEEN BEE,Band
eb798c1c-fbef-4ca3-96db-49733c9fc829,ちゃんみな,Chanmina,"Singer, Rapper"
165c274e-29e1-4880-9431-70b992edc883,Ｂ小町,B-Komachi,Idol Group
c9b8b83f-6430-4e3b-acf5-2dabe187cb80,茅野 愛衣,Ai Kayano,Voice Actor
00f9980c-d4aa-462b-a98e-ddf46311ce5b,中津 真莉,Mari Nakatsu,Voice Actor
6459fb49-56a7-415b-a765-eae25796e062,高森 奈津美,Natsumi Takamori,Voice Actor
bf28d754-9d52-48e7-a391-b53c2a58f605,大倉 明日香,Ookura Asuka,Singer
aff16d9a-029d-4a05-9145-d8d8965ca9b2,藤澤 守,Joe Hisaishi,"Composer, Conductor"
183009d2-c719-4aaa-b94c-6e1d07bcdd29,内田 彩,Aya Uchida,"Singer, Voice Actor"
f67a77a6-4fa2-45b5-97f0-cbb153378191,MYTH & ROID,MYTH & ROID,Band
dd963329-bdd3-47e7-9509-e5f0511b4904,高橋 李依,Rie Takahashi,"Singer, Voice Actor"
dd032b92-9f1c-4092-9ee0-7c4a4f384492,nonoc,nonoc,Singer
f0202baa-70c9-4cd7-b181-52fb56db9c54,唐沢 美帆,Miho Karasawa,Singer
aafd62b9-563c-4dac-9ee1-ff2ab766215e,Starlight Kukugumi,Starlight Kukugumi,Unit
0dbe53d0-c047-435c-9298-649a820fb770,ORESAMA,ORESAMA,Unit
bf889d70-a518-4106-86d2-2fb61955eb9d,Ado,Ado,Singer
1d05e02e-e25e-49fe-99a7-d817473b3da3,Team Spica,Team Spica,"Unit, Team"
cb5169a2-ec04-47fa-aa98-a5fc5a9db5ca,NOMELON NOLEMON ,NOMELON NOLEMON ,Duo
ff217ac8-a0ab-492e-9d9f-3a0d380f8a2c,美波,Minami,"Singer, Songwriter"
b9e06342-6143-4ef9-adbc-1eeb22b055bc,はしメロ,Hashimero,"Singer, Songwriter"
952ddbf6-3a67-4203-b174-9d72ea354ea2,巡巡,Meguri Meguru,Producer
aa265c70-2bc4-4edd-a6fa-e428f49d7915,八木 海莉,Kairi Yagi,"Singer, Songwriter"
9b907873-8e81-4ff3-a01b-f729a882c51b,Goose house,Goose house,Group
28b94a16-261a-40be-8904-b37a50fb5d59,TAKU INOUE,TAKU INOUE,Producer
a49746c0-6ebf-4929-aa1c-551f63ce4646,MI8k,MI8k,Producer
fc3121b4-e866-479c-b72b-7a8e394f61f3,ヤッフル,Yaffle,Producer
d3777dd0-6365-415f-ac57-84952fcd9c2e,ピノキオピー,PinocchioP,Producer
ca2ea8e4-dd6d-4fe9-a137-049bed3e4d28,GEMN,GEMN,Duo